Traceback (most recent call last):
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\Nptel AI\retriever.py", line 679, in search
    results = self.collection.query(
              ^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\models\Collection.py", line 213, in query
    query_request = self._validate_and_prepare_query_request(
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\models\CollectionCommon.py", line 95, in wrapper
    return func(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\models\CollectionCommon.py", line 309, in _validate_and_prepare_query_request
    validate_filter_set(filter_set=filters)
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\types.py", line 477, in validate_filter_set
    validate_where(filter_set["where"])
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\types.py", line 1047, in validate_where
    raise ValueError(f"Expected where to have exactly one operator, got {where}")
ValueError: Expected where to have exactly one operator, got {} in query.
2026-02-02 01:46:03 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 01:46:10 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 01:46:10 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 01:46:10 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 01:46:10 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 01:46:10 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 01:46:10 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 01:46:10 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 01:46:10 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 01:53:58 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 01:54:06 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 01:54:06 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 01:54:06 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 01:54:06 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 01:54:06 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 01:54:06 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 01:54:06 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 01:54:06 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 01:55:35 | ERROR    | search | Search failed: Expected where to have exactly one operator, got {'domain': 'Artificial Intelligence', 'complexity': 'medium', 'key_concepts': ['Deep Learning', 'Neural Networks']} in query.
Traceback (most recent call last):
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\Nptel AI\retriever.py", line 679, in search
    results = self.collection.query(
              ^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\models\Collection.py", line 213, in query
    query_request = self._validate_and_prepare_query_request(
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\models\CollectionCommon.py", line 95, in wrapper
    return func(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\models\CollectionCommon.py", line 309, in _validate_and_prepare_query_request
    validate_filter_set(filter_set=filters)
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\types.py", line 477, in validate_filter_set
    validate_where(filter_set["where"])
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\venv\Lib\site-packages\chromadb\api\types.py", line 1047, in validate_where
    raise ValueError(f"Expected where to have exactly one operator, got {where}")
ValueError: Expected where to have exactly one operator, got {'domain': 'Artificial Intelligence', 'complexity': 'medium', 'key_concepts': ['Deep Learning', 'Neural Networks']} in query.
2026-02-02 02:03:07 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:03:07 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:03:07 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:05:12 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:05:21 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:05:21 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:05:21 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:05:21 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:05:21 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:05:39 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:05:39 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:05:39 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:06:13 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:06:14 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:06:14 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:06:43 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:06:43 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:06:43 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:10:30 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:10:30 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:10:30 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:16:35 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
